index,lifehist,ModeReproduction,Symbionts,family_molecules,genus,spp_phylo,species_name,Location_name,ABSLatitude,volume,lg.eggsize,sstmean,sstvarall,chlamean
109,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_spicifera,Acropora spicifera,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,46451869.5,17.65392727,26.69642,3.871768518,0.3044986
110,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_tenella,Acropora tenella,Sesoko-Island_Okinawa,26.654282,74045806.02,18.12019446,24.90274,8.281658017,0.3931716
111,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_tenuis,Acropora tenuis,Akajima-Okinawa,26.210999,138089934.5,18.74341573,25.30125,7.585215532,0.1482767
112,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_tenuis,Acropora tenuis,MombasaMNP-Kenya,4.026741,47079588.98,17.66735011,27.07738,1.469125806,0.2810418
113,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_tenuis,Acropora tenuis,Ningaloo-Reef-Australia,23.17,115948396.2,18.56865579,24.54691,3.538341578,0.4856855
114,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_tenuis,Acropora tenuis,ScottReef-W-Australia,14.001409,125653644.9,18.64903983,28.78224,2.197272582,0.2765393
115,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_valida,Acropora valida,Eilat_Israel,29.509704,38792386.07,17.47373455,24.18318,5.098983997,0.1745565
116,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_valida,Acropora valida,Hawaii,19.745646,139847987.9,18.75606659,25.3296,2.100067604,0.2631996
117,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_valida,Acropora valida,Heron-Island,23.43735,86558774.92,18.27633422,24.39077,4.426336301,0.4277969
118,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_valida,Acropora valida,Little-Broadhurst-Reef-GBR,18.91,132803570.4,18.70438168,26.09739,3.547225694,0.5064701
119,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_valida,Acropora valida,MombasaMNP-Kenya,4.026741,53670566.54,17.7983753,27.07738,1.469125806,0.2810418
120,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_valida,Acropora valida,Pioneer-Bay_Orpheus-Island,18.609756,110850435.2,18.52369242,26.12825,6.534270913,1.118393
121,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_valida,Acropora valida,Solitary-Islands_Australia,29.924725,96384263.06,18.3838535,22.32569,4.45862651,0.7583831
122,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_valida,Acropora valida,Yenliao-Bay_Taiwan,25.060262,31059355.65,17.25141063,23.66956,11.36513777,0.6458806
123,HHT,Hermaphrodite,No,Acroporidae,Astreopora,ACR_Astreopora_gracilis,Astreopora gracilis,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,185036268.5,19.03606241,26.69642,3.871768518,0.3044986
124,HHT,Hermaphrodite,No,Acroporidae,Astreopora,ACR_Astreopora_listeri,Astreopora listeri,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,16996937.18,16.64854372,26.69642,3.871768518,0.3044986
125,HHT,Hermaphrodite,No,Acroporidae,Astreopora,ACR_Astreopora_myriophthalma,Astreopora myriophthalma,Eilat_Israel,29.509704,32269327.05,17.28962771,24.18318,5.098983997,0.1745565
126,HHT,Hermaphrodite,No,Acroporidae,Astreopora,ACR_Astreopora_myriophthalma,Astreopora myriophthalma,Orpheus,18.636954,81535258.15,18.2165461,26.11052,6.357074713,0.8734128
127,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_chalcidicum,Cyphastrea chalcidicum,Taiwan,23.099174,15002474.62,16.52372572,26.60095,3.337059405,0.3223763
128,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_microphthalma,Cyphastrea microphthalma,Arabian-Gulf,24.97172,17318637.47,16.66729379,27.97327,22.4233218,1.9451716
129,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_microphthalma,Cyphastrea microphthalma,Eilat_Israel,29.509704,12770050.59,16.36261319,24.18318,5.098983997,0.1745565
130,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_microphthalma,Cyphastrea microphthalma,North-Bay_Lord-Howe-Island,31.52,12248889.65,16.32094585,21.47838,4.443339374,0.2660914
131,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_microphthalma,Cyphastrea microphthalma,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,14279010.36,16.47430121,26.69642,3.871768518,0.3044986
132,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_salae,Cyphastrea salae,Solitary-Islands_Australia,29.924725,14253628.02,16.47252203,22.32569,4.45862651,0.7583831
133,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_serailia,Cyphastrea serailia,Heron-Island,23.43735,9753248.139,16.09311093,24.39077,4.426336301,0.4277969
134,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_serailia,Cyphastrea serailia,Solitary-Islands_Australia,29.924725,15465080.35,16.55409516,22.32569,4.45862651,0.7583831
135,HHT,Hermaphrodite,No,Merulinidae,Cyphastrea,FAV_Cyphastrea_serailia,Cyphastrea serailia,Taiwan,23.099174,18308041.18,16.72285093,26.60095,3.337059405,0.3223763
136,HHT,Hermaphrodite,No,Mussidae,Pseudodiploria,FAV_Diploria_strigosa,Pseudodiploria strigosa,Bermuda,32.368431,44602238.22,17.6132946,23.27112,13.25246848,0.4973353
